file_name,extraction_time,local_api_time,groq_api_time,total_local_time,total_groq_time,local_api_summary,groq_summary,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1
10466208.pdf,3.84,4.47,9.11,8.31,12.95,"A highly organized, entrepreneurial, and versatile business professional with 17+ years of experience in sales, customer service, and marketing. Proven track record in managing and growing clientele, achieving sales targets, and providing exceptional customer service. Strong leadership and communication skills with a knack for relationship-building and problem-solving. Seeking a position in Pharmaceutical Sales to leverage my skills and experience in a challenging and dynamic environment.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Professional Summary:**

Highly organized and entrepreneurial pharmaceutical sales representative with 5+ years of experience in women's healthcare. Proven track record of doubling membership, resolving customer inquiries, and consistently hitting and exceeding sales goals.

**Key Experience:**

* Doubled membership in an environment with frequent acquisitions and mergers
* Resolved customer inquiries and complaints in a timely and empathetic manner
* Developed and implemented account management programs to maintain existing accounts and attract new ones
* Successfully launched new products and rapidly gained market share
* Consistently hit and exceeded quarterly sales goals
* Managed acquisition of a New England Association and increased membership by 50% within two years

**Skills:**

* Account management and sales
* Leadership and team management
* Event planning and marketing
* Public speaking and communication
* Problem-solving and decision making
* Customer satisfaction and retention

**Education:**

* Bachelor of Arts in Business Administration and Public Relations, Heidelberg College (1995)

**Certifications:**

* Proven administrative and organizational skills

Overall, this candidate has a strong background in pharmaceutical sales, with a focus on women's healthcare, and has demonstrated excellent leadership, communication, and problem-solving skills.",0.7015,0.2500,0.3686,0.2576,0.0909,0.1344
10219099.pdf,4.98,5.54,17.23,10.52,22.21,"Highly skilled Mechanical Technician with 20 years of Material Management experience, including 13 years of Law Enforcement experience with the United States Marine Corps and Army National Guard. Strong background in mechanical, pneumatic, and hydraulic theory and principles, with expertise in troubleshooting and repairing equipment. Proven ability to lead and achieve company goals with excellence, integrity, and efficiency. Forklift and Crane certified, NDT Level II.

Work History

1. Equipment Engineering Technician (05/2014 - Current) - Design, select, and program robotic systems; provide maintenance and troubleshooting support; install factory automation and electrical control systems; perform preventive maintenance; set an example for safety regulations and plant's safety program.
2. Mechanical Technician (04/2013 - 05/2014) - Implement repair services on all production equipment, auxiliary equipment, and building equipment; conduct preventive maintenance services; provide customer support; inspect, test, and install fire sprinkler systems, standpipe systems, fire pumps, and clean agent systems.
3. Operating Engineer/Test Technician (11/2007 - 06/2012) - Operate, repair, and maintain Facility/Plant Machinery, Test Equipment, Lubrication and Cooling Systems, and High Pressure Systems for NASA unitary Wind Tunnels; construct, modify, maintain and service wind and propulsion tunnel research facilities; install instrumentation, thermocouples, and pressure taps on model and test equipment; troubleshoot and resolve technical problems.
4. Logistics Coordinator/Sr. Lab Technician (10/2006 - 11/2007) - Coordinate all incoming and outgoing shipments of solar arrays, panels, shipping containers, and ground support equipment; interface with Metrology personnel to ensure calibrated equipment needs are prioritized and maintain inventory of the Section's calibrated equipment; support work in progress, troubleshoot manufacturing problems caused by test equipment.
5. Production Control Analyst (11/2004 - 05/2006) - Expedite materials through production processes, coordinate actions with other departments, verify kit hardware completeness and configuration, request","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**
Experienced Equipment Engineering Technician with 20 years of material management experience and 13 years of law enforcement experience. Skilled in mechanical test equipment, robotic systems, and automation. Proficient in MS Office, 10key by touch, and customer service skills. Certified in forklift and crane operations. Strong problem-solving and multi-tasking skills.

**Key Experience:**

* Equipment Engineering Technician (2014-Present): Designed and implemented robotic systems, supported maintenance team, and conducted troubleshooting and repair services on production equipment.
* Mechanical Technician (2013-2014): Implemented repair services on production equipment, provided customer support, and ensured conveyor belts were working effectively.
* Operating Engineer/Test Technician (2007-2012): Operated, repaired, and maintained facility machinery, test equipment, and high-pressure systems for NASA wind tunnels.

**Education:**

* General Courses, Monterey Peninsula College
* Technical Diploma, San Francisco Police Academy

**Skills:**

* Automation, mechanical test equipment, robotic systems, MS Office, 10key by touch, customer service, forklift and crane operations, NDT Level II, mechanical, pneumatic, and hydraulic theory and principles.

**Accomplishments:**

* Successfully implemented robotic systems and automation processes
* Improved production efficiency and reduced downtime
* Developed and implemented quality control procedures
* Provided effective training and coaching to team members

",0.4251,0.6100,0.5010,0.1993,0.2864,0.2351
10553553.pdf,3.85,5.74,3.84,9.59,7.69,"## Skills

- Operations management
- Project tracking
- Performance criteria tracking
- Agile methodologies
- Enterprise platforms
- Salary structure/compensation analysis
- Staff development
- Client communication

## Experience

Information Technology Manager , 2013 to Current

- Managed a five-person IT team, delivering high-quality IT services to clients.
- Executed proof of concept implementations to validate product feasibility.
- Engineered IT infrastructure for reliable WAN and LAN connectivity.
- Managed North America production data center and disaster recovery applications.
- Deployed over 30 NEC phones and supported NEC PBX.

Senior IT Analyst , 2009 to 2013

- Provided technical support to internal and external clients.
- Managed IT projects from conception through implementation.
- Conducted IT audits to identify potential risks and provide recommendations for improvement.
- Managed vendor relationships and negotiated contracts.

IT Consultant , 2006 to 2009

- Provided IT consulting services to small and medium-sized businesses.
- Designed, implemented, and managed IT infrastructure.
- Provided technical support to clients.
- Developed and maintained relationships with clients.

## Education

Master of Science : Information Technology Management , 2018
Bachelor of Science : Computer Science , 2006

## Skills

- Technical Project Management
- IT Governance
- Risk Management
- Cloud Computing
- Virtualization
- IT Service Management
- IT Security
- ITIL
- PMP
- CISSP
---------------------
This resume highlights the candidate's extensive experience in IT management, with a focus on their skills in project management, IT governance, risk management, and ITIL. The resume also emphasizes their technical expertise in cloud computing, virtualization, and IT service management, as well as their certifications in PMP and CISSP. The education section is concise and lists both a Master's and Bachelor's degree in IT-related fields.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**IT Manager**

* 9+ years of experience in IT management, with expertise in operations management, project tracking, and performance criteria tracking
* Proven track record of boosting performance and productivity by establishing realistic goals and enforcing deadlines
* Skilled in waterfall framework, Scrum methodology, and enterprise platforms
* Strong analytical and problem-solving skills, with ability to identify and mitigate risk
* Excellent communication and client communication skills

**Key Achievements**

* Managed a team of 5 IT professionals, with responsibility for staff development and termination for cause
* Successfully executed proof of concept implementations to validate product feasibility
* Defined project deliverables and monitored task status
* Owned and managed SaaS customers in North America, Canada, and Australia

**Technical Skills**

* Active Directory, Windows Server, Microsoft Exchange, SQL, VMware, Symantec endpoint security solutions
* Experience with various operating systems, including Windows 7, Windows XP, and Mac OS
* Strong understanding of network administration, including LAN, WAN, and client/server management

**Education**

* Master of Science in Business Information Technology, DePaul University (2018)
* Bachelor of Science in Network and Communications Management, DeVry University (2009)",0.3680,0.5000,0.4240,0.1406,0.1913,0.1620
10568183.pdf,3.74,5.09,9.25,8.83,12.99,"Experienced and dedicated Medical Support Assistant (OA) GS-5 Step 2 with exceptional customer service skills, strong work ethic, and great initiative. Proficient in using multiple computer systems and technologies, including CHCS, AHLTA, DMHRSI, and MS Office. Experienced in scheduling appointments, maintaining patient records, and providing clerical/administrative support to medical providers. Adept at quickly learning new procedures and taking ownership of diverse projects. Strong team player and detail-oriented.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**
Highly motivated and detail-oriented Medical Support Assistant with 8+ years of experience in healthcare administration, customer service, and data management. Proficient in multiple computer systems and technologies, with strong communication and interpersonal skills.

**Key Experience:**

* Medical Support Assistant (OA) GS-5 Step 2, Company Name (12/2015 - Current)
	+ Managed patient appointment schedules, coordinated appointments, and provided technical advice to managers
	+ Maintained patient records, both electronic and paper, and provided information on practice policies and procedures
	+ Screened patients to determine eligibility for care and provided on-the-job training to new employees
* Healthcare Assistant Rep, Company Name (10/2013 - 12/2014)
	+ Assisted with FSA/HRA benefits, administered Cobra benefits, and responded to customer inquiries
	+ Provided functional guidance training and assistance to lower-level staff and planned and implemented department goals

**Education:**

* Bachelor of Science in Healthcare Administration/Healthcare Management, University of Phoenix (2016)
* Associate in Medical Office Administration, Fayetteville Tech Community College (5/10/2011)

**References:**
Available upon request.",0.6286,0.2529,0.3607,0.2609,0.1040,0.1488
10603337.pdf,3.01,3.75,3.93,6.76,6.94,"Sales Associate with experience in customer service, inventory, and sales. Internship experience in production, fashion, and museum field. Proficient in photography, digital cameras, and photo editing. Strong research and planning skills.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Sales Associate**

* 5+ years of experience as a sales associate, with expertise in customer service, inventory management, and sales operations.
* Proven ability to work effectively in a fast-paced retail environment, with strong communication and problem-solving skills.

**Production and Fashion Experience**

* Production Intern: Coordinated production schedules, arranged rehearsals, and obtained property requirements for productions.
* Fashion Intern: Assisted with photo shoots, worked with photographers and stylists, and kept up-to-date on latest fabrics.
* Museum Intern: Led tours, provided directions, and researched topics for expeditions.

**Education**

* Associate's degree from Borough of Manhattan Community College (2016)
* High School Diploma from Talent Unlimited High School (2013)

**Skills**

* Photo and video production
* Customer service and sales
* Inventory management and coordination
* Research and analysis
* Communication and problem-solving skills",0.7097,0.1571,0.2573,0.2667,0.0576,0.0947
10624813.pdf,3.74,4.57,3.92,8.32,7.67,"Senior Software Executive with 17+ years of Agile expertise, successfully leading global software development teams, from 15-60 people, with P&L responsibilities between $2M-$6M. Adept at bridging the gap between business and engineering, implementing strategic plans, and aligning technical metrics to business KPIs. Skilled in managing offshore teams, subsidiaries, and merger/acquisitions, while promoting Engineering Best Practices. Agile evangelist with a strong background in Java, C++, PHP, and Python.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Highly experienced Software Executive with 25+ years of experience in leading software development teams, implementing strategic plans, and driving business growth. Proven track record of success in reorganizing teams, improving processes, and increasing revenue and profitability.

**Key Qualifications:**

* Agile expert with 13+ years of experience in agile software development
* Strong leadership skills, with experience managing teams of 15-60 people across multiple locations
* Proven ability to bridge the gap between business and engineering, aligning technical teams with business goals
* Skilled in technology management, with expertise in Java, Amazon AWS, Hibernate, PHP, and other technologies
* Experience in process improvement, with a focus on design & code reviews, paired programming, unit tests, and continuous integration testing
* Strong analytical and problem-solving skills, with experience in identifying and resolving complex technical issues

**Notable Achievements:**

* Doubled team size to 20 people in 4 months, with a 90% acceptance rate
* Turned around a multiyear software delivery failure, putting the software back on budget and on time
* Reduced technical dependency on old technologies by 50%, and implemented a multiyear strategic technology plan
* Increased revenue and cost savings by identifying and addressing misalignment between technical teams and business goals",0.6338,0.2184,0.3249,0.3000,0.1024,0.1527
10641230.pdf,3.19,12.16,3.9,15.35,7.09,"Detail-oriented IT professional with extensive experience in hardware/software troubleshooting, networking, server technologies, and digital graphic design. MCSA certified, proficient in HTML/CSS/JavaScript/PHP/SQL, and experienced in website design, content management, and SEO. Skilled in project management, multi-project priority management, and organizational development.

---

To make this summary more concise and effective, consider the following revisions:

- Shorten the summary to 4 lines:

```
Detail-oriented IT professional with A+, Net+, MCSA certifications. Extensive experience in hardware/software troubleshooting, networking, server technologies, and digital graphic design. Proficient in HTML/CSS/JavaScript/PHP/SQL, experienced in website design, content management, and SEO. Skilled in project management, multi-project priority management, and organizational development.
```

- Use bullet points for a more readable format:

```
- Detail-oriented IT professional
- A+, Net+, MCSA certified
- Extensive experience in hardware/software troubleshooting, networking, server technologies, and digital graphic design
- Proficient in HTML/CSS/JavaScript/PHP/SQL
- Experienced in website design, content management, and SEO
- Skilled in project management, multi-project priority management, and organizational development
```

- Focus on the most relevant and important qualifications, skills, and experience:

```
- A+, Net+, MCSA certified IT professional
- Extensive experience in hardware/software troubleshooting, networking, server technologies, and digital graphic design
- Proficient in HTML/CSS/JavaScript/PHP/SQL
- Experienced in website design, content management, and SEO
- Skilled in project management, multi-project priority management, and organizational development
```

---

To address the lack of specific accomplishments, consider adding the following bullet points:

```
- Increased monthly hits on a client's website from 3422 to 40884 within a few months
- Designed, priced, built, and installed a complete information system upgrade for a client, including networking devices, wiring, client computers, server, and software
- Autom","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Highly detail-oriented IT professional with extensive experience in hardware and software troubleshooting, management, and development. Proficient in various programming languages, operating systems, and software packages. Proven track record of successfully managing IT projects, troubleshooting complex issues, and improving office efficiency.

**Key Experience:**

* IT Management: Planned, budgeted, and executed IT projects, managed company website, and designed electronic newsletters.
* IT Consultant: Provided contract IT consulting services, including computer repair, network expansion, and website management.
* Education: Associate of Science in Information Technology, with coursework in computer science and a GPA of 3.5.

**Key Skills:**

* CompTIA A+ certified
* Proficient in various programming languages, including Java, JavaScript, and PHP
* Experienced in operating systems, including Windows, Linux, and Mac OS
* Proficient in software packages, including Microsoft Office, Adobe Creative Suite, and Content Management Systems
* Strong troubleshooting and problem-solving skills
* Proven project management and organizational skills

**Accomplishments:**

* Rebuilt a client's website, increasing monthly hits by 1,000%
* Designed and installed a complete information system upgrade for a client
* Automated and streamlined daily office tasks using Batch Scripting
* Troubleshot medical technology, including X-ray machines and medical industry client and server software",0.3949,0.5369,0.4551,0.1309,0.1782,0.1509
10712803.pdf,4.42,15.09,3.98,19.51,8.4,"A results-driven Controls Engineer and Project Manager with over 20 years of experience in manufacturing, skilled in Industrial Automation, Process Engineering, and Mechanical Design. Proven ability to lead and motivate high performance teams, improve production availability, and meet critical requirements. Proficient in PLC programming, SCADA, and advanced troubleshooting.

### Skills Summary

- Controls Engineering
- Process Engineering
- Mechanical Design
- Project Management
- PLC Programming
- SCADA
- Troubleshooting

### Professional Experience

#### Engineering Services Manager, 02/2013 ï¼ 08/2015

- Accountable for maintaining the efficiency of all manufacturing processes, managing all engineering services, and ensuring expenditures are optimized and maintained within budget.

#### Electrical Superintendent, 05/2008 ï¼ 02/2013

- Managed electrical and instrumentation activities, accountable for the proper operation of all automation and controls on production equipment, and managed the installation and startup of new projects.

#### Project Manager, 05/2005 ï¼ 05/2008

- Managed a team of engineers in the design of various machine sections to ensure on-time project completion, supervised mechanical and electrical assembly, and coordinated with vendors and other contractors to complete equipment installation.

#### Maintenance Manager/Safety & Environmental Manager, 01/1996 ï¼ 04/2004

- Managed the operations and activities of plant maintenance and engineering personnel, accountable for compliance with applicable federal, state and local laws and regulations, and responsible for the installation, programming, maintenance and operation of new material handling control system.

### Education

- Certificate of Completion : AIB - HACCP Online Course - Haccp/Food Safety, 2015
- Select One : Yuba Community College - Business Management, 2004
- NEEC Building Operator Certification : Butte College - Basic Electronics, Drafting, 2003
- High School Diploma : Elk Creek High School, 1985","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**
Results-driven Controls Engineer and Project Manager with 20+ years of experience in manufacturing, industrial automation, and process engineering. Proven ability to lead high-performance teams, improve production efficiency, and meet critical requirements.

**Key Experience:**

* Engineering Services Manager (2013-2015): Managed engineering services, including mechanical repairs, design, and construction, to ensure efficient and effective production processes.
* Electrical Superintendent (2008-2013): Supervised electrical and instrumentation activities, managed projects, and performed advanced troubleshooting and PLC support.
* Project Manager (2005-2008): Led teams in designing and installing equipment, managed budgets, and ensured on-time project completion.
* Facility Supervisor (2004-2005): Managed maintenance personnel, performed advanced troubleshooting, and designed industrial automation systems.

**Key Skills:**

* Process engineering and automation
* PLC programming (Allen-Bradley, Siemens)
* SCADA system configuration
* Industrial automation design and installation
* Mechanical and electrical repairs
* Project management and budgeting
* Team leadership and supervision
* Troubleshooting and problem-solving

**Education:**

* Certificate of Completion, AIB - HACCP Online Course (2015)
* Coursework in Business Management, Yuba Community College (2004)
* NEEC Building Operator Certification, Butte College (2003)
* High School Diploma, Elk Creek High",0.5754,0.7713,0.6591,0.2749,0.3690,0.3151
10724818.pdf,4.14,7.06,3.86,11.2,8.0,"* Highly organized and detail-oriented Executive Assistant with 8+ years of experience in administrative and sales support roles.
* Proficient in Microsoft Office Suite, calendar management, and travel arrangements.
* Proven track record in multitasking, meeting planning, and process improvement.
* Demonstrated skills in research, data organization, and report generation.
* Strong communication and self-starter with a proven ability to meet client and company needs.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Executive Assistant with 10+ years of experience**

* Skilled in time management, attention to detail, and Microsoft Office proficiency
* Proven track record of process improvement, research, and data organization
* Strong communication and multitasking skills, with experience in travel administration, scheduling, and meeting planning
* Proficient in invoicing, expense reporting, and budget management

**Notable Accomplishments:**

* Implemented a new phone system, resulting in cost savings
* Improved office organization and compiled quarterly budget reports
* Coordinated complex travel itineraries for staff of 10 employees
* Formally recognized for playing an instrumental role in implementing cost savings measures

**Sales Experience:**

* Coordinated customer-facing webinars, developed relationships with vendors, and tracked customer attendance
* Managed desktop publishing, proposal typing, and executive correspondence

**Executive Assistant Experience:**

* Served as sole assistant for Eastern half of North America, managing calendars, travel, and facility logistics
* Coordinated quarterly reviews, staffed conferences, and designed PowerPoint presentations
* Maintained and coordinated executive and senior management vacation, day-to-day meeting, and travel schedules

**Education:**

* Bachelor's degree in Anthropology with an emphasis in Linguistics from Hunter College",0.7581,0.2568,0.3837,0.2787,0.0934,0.1399
10839851.pdf,4.08,16.1,4.06,20.18,8.14,"Seeking a career in Information Assurance with a focus on Cyber Network Defense. Proficient in network hardware and software with strong knowledge of Microsoft Office, Avaya, and Remedy. Extensive experience in IT service management, project planning, and problem-solving. Fluent in Dari, Dutch, and Russian.

Skills

List skills in a concise and easy-to-read format, bullet-pointing them for quick scanning.

- Network hardware
- Microsoft Office
- Avaya
- Remedy
- IT service management
- Project planning
- Problem-solving
- Multilingual (Dari, Dutch, Russian)

Work History

Include only relevant work history, focusing on the most recent positions and highlighting key responsibilities and accomplishments.

Information Technology Specialist, Company Name (02/2018 to Current)

- Analyzed customer requirements, planned and delivered IT projects, and collaborated with others to ensure project success
- Coordinated with customers to prioritize project plans and deliverables, and participated in IT solution implementations
- Applied metrics to monitor project performance and measured key project criteria
- Performed network connectivity, printer, and other hardware maintenance and troubleshooting for both on-site and remote users
- Assisted users with desktop workstation deployment and maintenance

Information Technology Interpreter, Company Name (06/2016 to 01/2018)

- Assisted the US military in training foreign nationals on IT basics, including troubleshooting and system setup
- Diagnosed computer errors and provided technical support
- Backed up and restored organizational data files and systems
- Installed, configured, and upgraded PC software and operating systems
- Created and updated IT support tickets according to Standard Operating Procedures
- Provided customer support for email, hosted applications, desktop, system, and network problems within defined Service Level Agreements

Languages

List languages proficiency, focusing on those that are relevant to the job being applied for.

- Fluent in Dari, Dutch, and Russian

Additional sections can be added based on the requirements of the job being applied for, such as certifications, education, and volunteer work. Keep in mind that the resume should be tailored to the specific job and company being applied for.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Information Technology Specialist**

Seeking a career in Information Assurance with a focus on Cyber Network Defense.

**Key Skills:**

* Strong software and application knowledge: Avaya, Microsoft Office, Remedy
* Experience with IT Service Management (ITSM)
* TCP/IP Configuration
* Installing, adding, and deleting user accounts with Active Directory
* Strong understanding of desktop and network hardware

**Work Experience:**

* Information Technology Specialist, 02/2018 to Current: Assisted with IT projects, coordinated with others to analyze requirements, and performed maintenance and troubleshooting tasks.
* Information Technology Interpreter, 08/2010 to 03/2016: Provided technical support to US military personnel, diagnosed computer errors, and installed/configured PC software and operating systems.

**Language Skills:**

* Fluent in Dari, Dutch, and Russian

**Education:**

* (Not mentioned in the CV)

Overall, this individual has a strong foundation in IT, with experience in IT service management, desktop and network hardware, and software applications. They also have language skills in three languages, which could be an asset in a career in Information Assurance.",0.3746,0.6860,0.4846,0.1879,0.3450,0.2433
10840430.pdf,4.31,7.13,4.08,11.44,8.39,"Motivated Information Technology and Cyber security professional with outstanding managerial and customer service skills. Strong knowledge of INFOSEC/NETOPS techniques and ability to recognize and analyze problems. Expertise in capability planning in IT environment and CCRI processes. Excellent record of problem solving and achieving results in high-operations-tempo environments. Superior knowledge of Office of Management and Budget (OMB), Department of Defense (DoD) and U.S. Air Force regulations, principles and practices.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Highly motivated and experienced Information Technology and Cybersecurity professional with a strong background in INFOSEC/NETOPS, project management, and team leadership. Proven expertise in budgeting, cost analysis, and security management. Holds a TOP SECRET (SCI) clearance with CI Polygraph.

**Key Experience:**

* Branch Chief Information Technology Specialist, 07/2014 to Current:
	+ Oversee and manage multiple enterprise-level IT programs for the Headquarters Air Force (HAF) command, control, communications, computer, intelligence, surveillance, and reconnaissance (C4ISR).
	+ Establish and maintain effective working relationships with top functional area managers, program managers, commanders, and contractors.
* Information Technology Specialist (INFOSEC/NETOPS), 08/2009 to 07/2014:
	+ Developed operations plans and orders supporting cyber requirements at the strategic, operational, and tactical levels.
	+ Collaborated with Defense Information Systems Agency and other US Government partners to develop and implement directives for Global Information Grid (GIG) operations.
* Senior Technical Analyst, 09/2006 to 08/2009:
	+ Led digital media projects and guided teams to solutions that leveraged technical capabilities.
	+ Defined requirements for computer-based systems that supported electronic publishing Air Force-wide.

**Education:**

* M.S. in Public Administration, Government Law, Sul Ross University
* B",0.4861,0.1777,0.2602,0.0986,0.0357,0.0524
10898339.pdf,3.21,8.45,3.74,11.66,6.95,"Highly skilled Sales Associate with 7+ years of experience in maintenance work, including customer service and strong work ethic. Dependable, independent worker with excellent communication skills and the ability to lift heavy objects.

## Skills

- Customer service
- Communication
- Lifting heavy objects
- Dependability
- Hardworking

## Experience

Sales Associate: August 2013 to December 2013

- Excelled in customer service, face-front, and organization tasks.

Lawn Care Technician: May 2013 to September 2013

- Operated various mowing and landscaping equipment with proficiency.

Handyman: January 2009 to July 2016

- Provided handyman services including window/gutter cleaning, power washing, painting, repair, and snow plowing.

## Education

- High School Diploma: 2011
- Liberal Arts: 2013, 2016

## Personal Information

- Able to complete tasks on time with satisfaction.
- Quick learner.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:** Dependable and hard-working sales associate with over 7 years of experience in maintenance work, lawn care, and handyman services.

**Key Skills:**

* Customer service skills
* Strong communication skills
* Ability to lift heavy objects
* Proficient in using various equipment (lawn mowers, rider, etc.)
* Jack of all trades, able to perform various handiwork and tasks

**Experience:**

* Sales Associate (August 2013 - December 2013)
* Lawn Care Technician (May 2013 - September 2013)
* Handyman (January 2009 - July 2016)

**Education:**

* High School Diploma, Avondale High School (2011)
* Liberal Arts, Clackamas Community College (2013)
* Liberal Arts, Oakland Community College (2016)

**Personal Qualities:**

* Hard worker and fast learner
* Always completes tasks on time and with satisfaction",0.6638,0.6311,0.6471,0.3478,0.3306,0.3390
10480456.pdf,4.74,5.63,4.42,10.37,9.16,"Proven track record of new product development, including the world's first lateral diffusion pregnancy test and the current formula for Listerine, the world's leading mouthwash. Led R&D on numerous solid, liquid, and semi-solid dosage forms on global brands including Rolaids, Benadryl, Sinutab, Lubriderm, Trident, Dentine, Aquafresh, and Sensodyne. Skilled in conducting and interpreting consumer tests, translating consumer needs to products, and leading cross-functional, highly matrixed global teams. World-recognized expert in oral healthcare R&D with strong ideation, innovation, and claims generation skills.","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Summary:**

Highly experienced Director of New Product Research and R&D Liaison with a strong background in consumer healthcare, particularly in oral care. Proven track record of developing and commercializing new products, with a focus on scientific excellence and innovation. Skilled in growth strategies, scientific strategy, technical expertise, and cross-functional experience.

**Key Experience:**

* Director, New Product Research and R&D Liaison, Global Oral Healthcare R&D, Consumer Healthcare R&D (2011-Present)
	+ Developed and implemented systems to drive scientific excellence worldwide
	+ Led cross-functional teams to develop and commercialize new products
	+ Coordinated scientific visualization and communication programs
* Associate Director/Category R&D Liaison, Oral Healthcare R&D, Consumer Healthcare R&D (1996-2002)
	+ Led innovation initiatives in North America
	+ Liaised between R&D and Marketing, Legal, Manufacturing, and Business Development
* Scientist, Analytical Technology Group, Analytical R&D, CPR&D (1995-1996)
	+ Conducted investigational research on oral care products
	+ Supervised senior scientists, scientists, and technicians

**Notable Accomplishments:**

* Led the development of EPT, the world's first lateral diffusion (stick-based) pregnancy test
* Developed the current formula for Listerine, the world's leading mouthwash
* In",0.6364,0.2828,0.3916,0.3103,0.1371,0.1901
10984392.pdf,4.36,14.22,3.87,18.58,8.23,"Highly organized process consultant with 5+ years experience in operations management and strategic planning. Proven ability to identify and solve challenges in a growth environment. Visionary professional with strong analytical, contextual, and command skills. Skilled negotiator and team builder with a track record of cost savings and operational efficiency improvements.

Professional Experience:

1. Process Consultant - January 2014 to Current - Company Name ï¼ City , State
   - Developed processes to simplify execution of primary economic drivers
   - Streamlined accounting system as management tool, changing organizational behavior to respond to financial goals
   - Achieved 14% savings in operational costs through line item approach to attacking costs
   - Implemented cloud management of company data and IT processes

2. Director of Operations - January 2012 to January 2014 - Company Name ï¼ City , State
   - Converted company culture from subjective management to objective management driven by data
   - Streamlined accounting system to be deployed as a management tool
   - Achieved 14% savings in operational costs by applying line item approach to attacking costs
   - Recognized changing business climate required more nimble communications, researched solutions, negotiated cost effective pricing, then deployed ""cloud"" management of company data and IT processes

3. Founder, President and CEO - January 2002 to January 2011 - Company Name ï¼ City , State
   - Founded and grew company to $4.5 million in revenue with no start-up capital or outside investment
   - Twice negotiated deals to double company revenue by expanding to out of state markets
   - Consistently sold apartment inventory to industry competitors due to high service standards and effective quality control practices
   - Recognized in Entrepreneur magazine for fast ""no excuses"" growth

Education:

- BA, University of Wisconsin Green Bay - 1987, GPA: 3.47

Languages:

- German (Professional working proficiency)

Personality:

- Analyst, idealist, goal setter, personal development, political junkie, CNBC, humor, neat, spontaneous, visual, Apple, forward thinker, bold, confidence, fitness, investments, optimism","Here is a concise summary of the CV, focusing on key qualifications and experience:

**Process Consultant**

* Experienced operations manager and entrepreneur with a proven track record of building a $4.5 million company without startup capital or outside investment.
* Skilled in negotiations, strategic thinking, team building, and advanced problem-solving.
* Proven ability to identify and solve challenges in growth environments, with a strong analytical and futuristic mindset.

**Key Experience:**

* Process Consultant: Developed processes to improve operational efficiency and financial clarity for small and medium-sized businesses.
* Director of Operations: Streamlined accounting systems, achieved 14% savings in operational costs, and implemented procurement processes to optimize cost savings.
* Founder, President, and CEO: Built a company from scratch, managed sales volume growth, and expanded operations to multiple markets, resulting in $4.5 million in revenue.

**Notable Achievements:**

* Recognized in Entrepreneur magazine for fast growth
* Successfully navigated the company through a recession, maintaining cash flow positivity
* Achieved 11% COGS reduction through cost analysis and procurement process improvements
* Developed and managed a highly effective employee base with low attrition rates

**Education:**

* Bachelor's degree in [undisclosed major] from the University of Wisconsin Green Bay, with a GPA of 3.47.",0.4089,0.6103,0.4897,0.1690,0.2526,0.2025
